标题,类型,名称,位置,resblockroom,area,resblockroom1,resblockroom2,resblockroom3,关键词,数量,描述,second
"
          合租·周新花园 5居室 南卧        ","
                  精选          /
                中原区-中原万达-周新花园
        /
        20.00㎡
        /南        /
          5室0厅2卫        
          /
          高楼层                        （32层）
                  
      ",中原区,中原万达,周新花园,公寓,月租,精装,"
            吉嘉公寓          ",758 元/月,758,"
            广告          ",/,押一付一,随时看房,,1天前维护,,"
          /
          高楼层                        （32层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg73/#contentList
"
          合租·周新花园 5居室 南卧        ","
                  精选          /
                中原区-中原万达-周新花园
        /
        20.00㎡
        /南        /
          5室0厅2卫        
          /
          高楼层                        （32层）
                  
      ",中原区,中原万达,周新花园,公寓,独立卫生间,月租,"
            吉嘉公寓          ",1100 元/月,1100,"
            广告          ",/,精装,押一付一,随时看房,7天前维护,,"
          /
          高楼层                        （32层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg73/#contentList
"
          整租·荣邦城中区 3室1厅 南        ","
                郑州高新技术产业开发区-高新外国语-荣邦城中区
        /
        90.00㎡
        /南        /
          3室1厅1卫        
          /
          中楼层                        （17层）
                  
      ",郑州高新技术产业开发区,高新外国语,荣邦城中区,精装,集中供暖,,1天前维护,1500 元/月,1500,,,,,,,,"
          /
          中楼层                        （17层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg73/#contentList
"
          合租·周新花园 5居室 西卧        ","
                  精选          /
                中原区-中原万达-周新花园
        /
        20.00㎡
        /西        /
          5室0厅2卫        
          /
          高楼层                        （32层）
                  
      ",中原区,中原万达,周新花园,公寓,月租,精装,"
            吉嘉公寓          ",648 元/月,648,"
            广告          ",/,押一付一,随时看房,,4天前维护,,"
          /
          高楼层                        （32层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg73/#contentList
"
          合租·秦庄嘉园 4居室 西卧        ","
                  精选          /
                郑州高新技术产业开发区-高新梧桐-秦庄嘉园
        /
        15.00㎡
        /西        /
          4室1厅1卫        
          /
          高楼层                        （34层）
                  
      ",郑州高新技术产业开发区,高新梧桐,秦庄嘉园,租住保障,公寓,月租,"
            立醒公寓          ",501 元/月,501,"
            广告          ",/,随时看房,,,2天前维护,,"
          /
          高楼层                        （34层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg73/#contentList
"
          整租·海轮城市风铃 1室0厅 北        ","
                管城回族区-世纪欢乐园-海轮城市风铃
        /
        37.00㎡
        /北        /
          1室0厅1卫        
          /
          高楼层                        （18层）
                  
      ",管城回族区,世纪欢乐园,海轮城市风铃,近地铁,集中供暖,,5天前维护,1000 元/月,1000,,,,,,,,"
          /
          高楼层                        （18层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg73/#contentList
"
          整租·正弘愉心苑 3室1厅 南/北        ","
                航空港区-航空港商圈-正弘愉心苑
        /
        89.00㎡
        /南 北        /
          3室1厅1卫        
          /
          中楼层                        （26层）
                  
      ",航空港区,航空港商圈,正弘愉心苑,精装,集中供暖,随时看房,11天前维护,1400 元/月,1400,,,,,,,,"
          /
          中楼层                        （26层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg73/#contentList
"
          整租·金地铂悦 3室2厅 南/北        ","
                管城回族区-幸福港湾-金地铂悦
        /
        98.50㎡
        /南 北        /
          3室2厅1卫        
          /
          中楼层                        （34层）
                  
      ",管城回族区,幸福港湾,金地铂悦,近地铁,精装,集中供暖,"
            链家          ",2600 元/月,2600,,,,,,11天前维护,,"
          /
          中楼层                        （34层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg73/#contentList
"
          合租·周新花园 5居室 北卧        ","
                  精选          /
                中原区-中原万达-周新花园
        /
        20.00㎡
        /北        /
          5室0厅2卫        
          /
          中楼层                        （32层）
                  
      ",中原区,中原万达,周新花园,公寓,独立卫生间,月租,"
            吉嘉公寓          ",698 元/月,698,"
            广告          ",/,精装,独立阳台,押一付一,7天前维护,,"
          /
          中楼层                        （32层）
                  ",随时看房,,,,下一页,https://zz.zu.ke.com/zufang/pg73/#contentList
"
          整租·永威V尚 1室1厅 南        ","
                惠济区-北大学城-永威V尚
        /
        52.00㎡
        /南        /
          1室1厅1卫        
          /
          低楼层                        （12层）
                  
      ",惠济区,北大学城,永威V尚,近地铁,精装,,15天前维护,1300 元/月,1300,,,,,,,,"
          /
          低楼层                        （12层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg73/#contentList
"
          合租·美景鸿城三期 5居室 南卧        ","
                  精选          /
                管城回族区-阳光城-美景鸿城三期
        /
        30.00㎡
        /南        /
          5室1厅1卫        
          /
          高楼层                        （33层）
                  
      ",管城回族区,阳光城,美景鸿城三期,公寓,拎包入住,近地铁,"
            菲客公寓          ",899 元/月,899,"
            广告          ",/,独立阳台,集中供暖,押一付一,14天前维护,,"
          /
          高楼层                        （33层）
                  ",随时看房,,,,下一页,https://zz.zu.ke.com/zufang/pg73/#contentList
"
          合租·金领时代 4居室 北卧        ","
                  精选          /
                郑东新区-黄河南路-金领时代
        /
        25.00㎡
        /北        /
          4室1厅2卫        
          /
          高楼层                        （11层）
                  
      ",郑东新区,黄河南路,金领时代,租住保障,公寓,月租,"
            居易公寓          ",1000 元/月,1000,"
            广告          ",/,近地铁,精装,集中供暖,12天前维护,,"
          /
          高楼层                        （11层）
                  ",随时看房,,,,下一页,https://zz.zu.ke.com/zufang/pg73/#contentList
"
          合租·未来滨河小区 5居室 南卧        ","
                  精选          /
                金水区-未来大厦-未来滨河小区
        /
        25.00㎡
        /南        /
          5室1厅2卫        
          /
          低楼层                        （34层）
                  
      ",金水区,未来大厦,未来滨河小区,租住保障,公寓,月租,"
            西西公寓          ",880 元/月,880,"
            广告          ",/,近地铁,精装,独立阳台,15天前维护,,"
          /
          低楼层                        （34层）
                  ",集中供暖,押一付一,随时看房,,下一页,https://zz.zu.ke.com/zufang/pg73/#contentList
"
          整租·润丰锦尚 2室1厅 南        ","
                航空港区-航空港商圈-润丰锦尚
        /
        93.00㎡
        /南        /
          2室1厅1卫        
          /
          中楼层                        （14层）
                  
      ",航空港区,航空港商圈,润丰锦尚,精装,集中供暖,,1天前维护,1500 元/月,1500,,,,,,,,"
          /
          中楼层                        （14层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg73/#contentList
"
          整租·伟业栖岸 2室2厅 南        ","
                金水区-燕庄-伟业栖岸
        /
        92.00㎡
        /南        /
          2室2厅1卫        
          /
          低楼层                        （18层）
                  
      ",金水区,燕庄,伟业栖岸,近地铁,精装,集中供暖,6天前维护,2300 元/月,2300,,,,,,,,"
          /
          低楼层                        （18层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg73/#contentList
"
          整租·新鑫花园(金水) 6室2厅 南        ","
                金水区-燕庄-新鑫花园(金水)
        /
        245.00㎡
        /南        /
          6室2厅3卫        
          /
          高楼层                        （11层）
                  
      ",金水区,燕庄,新鑫花园(金水),近地铁,精装,随时看房,1天前维护,5500 元/月,5500,,,,,,,,"
          /
          高楼层                        （11层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg73/#contentList
"
          整租·美林河畔 3室1厅 南/北        ","
                管城回族区-阳光城-美林河畔
        /
        113.00㎡
        /南 北        /
          3室1厅1卫        
          /
          中楼层                        （28层）
                  
      ",管城回族区,阳光城,美林河畔,近地铁,精装,集中供暖,1天前维护,2200 元/月,2200,,,随时看房,,,,,"
          /
          中楼层                        （28层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg74/#contentList
"
          合租·嘉辰时代公寓 4居室 南卧        ","
                  精选          /
                金水区-枣庄-嘉辰时代公寓
        /
        30.00㎡
        /南        /
          4室1厅2卫        
          /
          中楼层                        （30层）
                  
      ",金水区,枣庄,嘉辰时代公寓,公寓,独立卫生间,月租,"
            品圣公寓          ",1100 元/月,1100,"
            广告          ",/,拎包入住,精装,独立阳台,2天前维护,,"
          /
          中楼层                        （30层）
                  ",集中供暖,押一付一,随时看房,,下一页,https://zz.zu.ke.com/zufang/pg74/#contentList
"
          整租·裕华光合花园 1室1厅 南        ","
                中原区-郑州晚报社-裕华光合花园
        /
        60.00㎡
        /南        /
          1室1厅1卫        
          /
          高楼层                        （33层）
                  
      ",中原区,郑州晚报社,裕华光合花园,精装,集中供暖,,"
            链家          ",1600 元/月,1600,,,,,,11天前维护,,"
          /
          高楼层                        （33层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg74/#contentList
"
          合租·六合幸福门三期 5居室 南卧        ","
                  精选          /
                中原区-交警二大队-六合幸福门三期
        /
        14.00㎡
        /南        /
          5室1厅1卫        
          /
          中楼层                        （32层）
                  
      ",中原区,交警二大队,六合幸福门三期,公寓,月租,拎包入住,"
            吉嘉公寓          ",501 元/月,501,"
            广告          ",/,精装,集中供暖,押一付一,17天前维护,,"
          /
          中楼层                        （32层）
                  ",随时看房,,,,下一页,https://zz.zu.ke.com/zufang/pg74/#contentList
"
          整租·锦绣家苑 2室2厅 南/北        ","
                郑东新区-白沙-锦绣家苑
        /
        83.00㎡
        /南 北        /
          2室2厅1卫        
          /
          低楼层                        （6层）
                  
      ",郑东新区,白沙,锦绣家苑,精装,随时看房,,1天前维护,900 元/月,900,,,,,,,,"
          /
          低楼层                        （6层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg74/#contentList
"
          整租·金博大城 2室1厅 东北        ","
                二七区-二七广场-金博大城
        /
        199.00㎡
        /东北        /
          2室1厅1卫        
          /
          中楼层                        （31层）
                  
      ",二七区,二七广场,金博大城,精装,,,2天前维护,5800 元/月,5800,,,,,,,,"
          /
          中楼层                        （31层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg74/#contentList
"
          整租·盛世港湾 2室1厅 南        ","
                郑州高新技术产业开发区-五龙口-盛世港湾
        /
        90.00㎡
        /南        /
          2室1厅1卫        
          /
          低楼层                        （6层）
                  
      ",郑州高新技术产业开发区,五龙口,盛世港湾,,,,"
            链家          ",1500 元/月,1500,,,,,,10天前维护,,"
          /
          低楼层                        （6层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg74/#contentList
"
          合租·正商城祥园 4居室 南卧        ","
                  精选          /
                二七区-长江一号-正商城祥园
        /
        30.00㎡
        /南        /
          4室0厅4卫        
          /
          中楼层                        （27层）
                  
      ",二七区,长江一号,正商城祥园,公寓,独立卫生间,月租,"
            遇见青苹果          ",1000 元/月,1000,"
            广告          ",/,近地铁,精装,随时看房,今天维护,,"
          /
          中楼层                        （27层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg74/#contentList
"
          整租·新里卢浮公馆二期 3室2厅 西南        ","
                郑东新区-郑州东站-新里卢浮公馆二期
        /
        92.00㎡
        /西南        /
          3室2厅1卫        
          /
          高楼层                        （34层）
                  
      ",郑东新区,郑州东站,新里卢浮公馆二期,精装,集中供暖,随时看房,5天前维护,3000 元/月,3000,,,,,,,,"
          /
          高楼层                        （34层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg74/#contentList
"
          整租·河南省理工学校家属院 2室2厅 南/北        ","
                金水区-徐寨-河南省理工学校家属院
        /
        80.00㎡
        /南 北        /
          2室2厅1卫        
          /
          高楼层                        （7层）
                  
      ",金水区,徐寨,河南省理工学校家属院,近地铁,精装,集中供暖,"
            链家          ",1900 元/月,1900,,,,,,9天前维护,,"
          /
          高楼层                        （7层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg74/#contentList
"
          整租·烟厂后街7号院 2室1厅 东/西        ","
                管城回族区-紫荆山-烟厂后街7号院
        /
        58.00㎡
        /东 西        /
          2室1厅1卫        
          /
          中楼层                        （7层）
                  
      ",管城回族区,紫荆山,烟厂后街7号院,近地铁,精装,随时看房,7天前维护,1100 元/月,1100,,,,,,,,"
          /
          中楼层                        （7层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg74/#contentList
"
          整租·美景天城 1室1厅 北        ","
                管城回族区-世纪欢乐园-美景天城
        /
        31.00㎡
        /北        /
          1室1厅1卫        
          /
          中楼层                        （18层）
                  
      ",管城回族区,世纪欢乐园,美景天城,精装,集中供暖,随时看房,"
            链家          ",1000 元/月,1000,,,,,,13天前维护,,"
          /
          中楼层                        （18层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg74/#contentList
"
          合租·珠江荣域南院 3居室 南卧        ","
                  精选          /
                二七区-兴华南街-珠江荣域南院
        /
        20.00㎡
        /南        /
          3室1厅1卫        
          /
          中楼层                        （6层）
                  
      ",二七区,兴华南街,珠江荣域南院,公寓,独立卫生间,月租,"
            安客家          ",800 元/月,800,"
            广告          ",/,拎包入住,精装,独立阳台,17天前维护,,"
          /
          中楼层                        （6层）
                  ",集中供暖,押一付一,随时看房,,下一页,https://zz.zu.ke.com/zufang/pg74/#contentList
"
          合租·周新花园 4居室 南卧        ","
                  精选          /
                中原区-中原万达-周新花园
        /
        30.00㎡
        /南        /
          4室0厅4卫        
          /
          低楼层                        （34层）
                  
      ",中原区,中原万达,周新花园,公寓,独立卫生间,月租,"
            遇见青苹果          ",850 元/月,850,"
            广告          ",/,拎包入住,精装,独立阳台,今天维护,,"
          /
          低楼层                        （34层）
                  ",集中供暖,随时看房,,,下一页,https://zz.zu.ke.com/zufang/pg74/#contentList
"
          整租·未来名家 2室1厅 东        ","
                管城回族区-幸福港湾-未来名家
        /
        90.94㎡
        /东        /
          2室1厅1卫        
          /
          高楼层                        （32层）
                  
      ",管城回族区,幸福港湾,未来名家,近地铁,集中供暖,随时看房,11天前维护,1800 元/月,1800,,,,,,,,"
          /
          高楼层                        （32层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg74/#contentList
"
          整租·公园道1号V公馆1期 1室1厅 东        ","
                郑州高新技术产业开发区-高新公园道-公园道1号V公馆1期
        /
        48.00㎡
        /东        /
          1室1厅1卫        
          /
          中楼层                        （30层）
                  
      ",郑州高新技术产业开发区,高新公园道,公园道1号V公馆1期,精装,,,2天前维护,1200 元/月,1200,,,,,,,,"
          /
          中楼层                        （30层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg74/#contentList
"
          整租·鑫苑世家 1室1厅 南        ","
                金水区-文博广场-鑫苑世家
        /
        57.00㎡
        /南        /
          1室1厅1卫        
          /
          中楼层                        （33层）
                  
      ",金水区,文博广场,鑫苑世家,近地铁,精装,集中供暖,5天前维护,2400 元/月,2400,,,随时看房,,,,,"
          /
          中楼层                        （33层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg74/#contentList
"
          整租·金地格林小城一期 2室2厅 南        ","
                荥阳市-荥阳城区-金地格林小城一期
        /
        79.00㎡
        /南        /
          2室2厅1卫        
          /
          高楼层                        （34层）
                  
      ",荥阳市,荥阳城区,金地格林小城一期,精装,集中供暖,,6天前维护,1000 元/月,1000,,,,,,,,"
          /
          高楼层                        （34层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg74/#contentList
"
          合租·晖达新领地 4居室 北卧        ","
                  精选          /
                郑东新区-祭城-晖达新领地
        /
        20.00㎡
        /北        /
          4室1厅1卫        
          /
          高楼层                        （9层）
                  
      ",郑东新区,祭城,晖达新领地,租住保障,公寓,月租,"
            帕丁顿公寓          ",850 元/月,850,"
            广告          ",/,近地铁,精装,集中供暖,17天前维护,,"
          /
          高楼层                        （9层）
                  ",押一付一,随时看房,,,下一页,https://zz.zu.ke.com/zufang/pg74/#contentList
"
          合租·晖达新领地 4居室 南卧        ","
                  精选          /
                郑东新区-祭城-晖达新领地
        /
        25.00㎡
        /南        /
          4室1厅2卫        
          /
          高楼层                        （18层）
                  
      ",郑东新区,祭城,晖达新领地,租住保障,公寓,月租,"
            帕丁顿公寓          ",950 元/月,950,"
            广告          ",/,近地铁,精装,独立阳台,17天前维护,,"
          /
          高楼层                        （18层）
                  ",集中供暖,押一付一,随时看房,,下一页,https://zz.zu.ke.com/zufang/pg74/#contentList
"
          整租·米兰阳光 1室1厅 北        ","
                金水区-科技市场-米兰阳光
        /
        37.00㎡
        /北        /
          1室1厅1卫        
          /
          中楼层                        （29层）
                  
      ",金水区,科技市场,米兰阳光,精装,随时看房,,1天前维护,1000 元/月,1000,,,,,,,,"
          /
          中楼层                        （29层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg74/#contentList
"
          整租·橡树玫瑰城北区 3室2厅 南/北        ","
                管城回族区-阳光城-橡树玫瑰城北区
        /
        89.78㎡
        /南 北        /
          3室2厅1卫        
          /
          低楼层                        （26层）
                  
      ",管城回族区,阳光城,橡树玫瑰城北区,精装,随时看房,,5天前维护,1900 元/月,1900,,,,,,,,"
          /
          低楼层                        （26层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg74/#contentList
"
          合租·正商铂钻 5居室 南卧        ","
                  精选          /
                郑东新区-龙子湖-正商铂钻
        /
        35.00㎡
        /南        /
          5室1厅2卫        
          /
          中楼层                        （18层）
                  
      ",郑东新区,龙子湖,正商铂钻,租住保障,公寓,月租,"
            帕丁顿公寓          ",1200 元/月,1200,"
            广告          ",/,近地铁,精装,独立阳台,17天前维护,,"
          /
          中楼层                        （18层）
                  ",集中供暖,押一付一,随时看房,,下一页,https://zz.zu.ke.com/zufang/pg74/#contentList
"
          整租·格林度假山庄 2室2厅 南/北        ","
                郑州经济技术开发区-恒大绿洲-格林度假山庄
        /
        95.11㎡
        /南 北        /
          2室2厅1卫        
          /
          高楼层                        （6层）
                  
      ",郑州经济技术开发区,恒大绿洲,格林度假山庄,近地铁,精装,随时看房,2天前维护,2300 元/月,2300,,,,,,,,"
          /
          高楼层                        （6层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg74/#contentList
"
          整租·中原新城王府东院 2室1厅 北        ","
                中原区-郑州一中-中原新城王府东院
        /
        55.00㎡
        /北        /
          2室1厅1卫        
          /
          中楼层                        （34层）
                  
      ",中原区,郑州一中,中原新城王府东院,近地铁,精装,集中供暖,12天前维护,1300 元/月,1300,,,随时看房,,,,,"
          /
          中楼层                        （34层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg74/#contentList
"
          整租·富田太阳城三期 1室1厅 东南        ","
                管城回族区-世纪欢乐园-富田太阳城三期
        /
        57.00㎡
        /东南        /
          1室1厅1卫        
          /
          低楼层                        （28层）
                  
      ",管城回族区,世纪欢乐园,富田太阳城三期,,,,6天前维护,1100 元/月,1100,,,,,,,,"
          /
          低楼层                        （28层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg74/#contentList
"
          整租·保利文化广场尚园 1室0厅 南/北        ","
                郑州高新技术产业开发区-高新公园道-保利文化广场尚园
        /
        33.04㎡
        /南 北        /
          1室0厅1卫        
          /
          低楼层                        （36层）
                  
      ",郑州高新技术产业开发区,高新公园道,保利文化广场尚园,精装,集中供暖,随时看房,15天前维护,1000 元/月,1000,,,,,,,,"
          /
          低楼层                        （36层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg74/#contentList
"
          整租·新鑫花园(金水) 3室2厅 南        ","
                金水区-燕庄-新鑫花园(金水)
        /
        119.00㎡
        /南        /
          3室2厅2卫        
          /
          中楼层                        （7层）
                  
      ",金水区,燕庄,新鑫花园(金水),近地铁,精装,双卫生间,3天前维护,3900 元/月,3900,,,,,,,,"
          /
          中楼层                        （7层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg74/#contentList
"
          整租·格林假日 2室1厅 南        ","
                郑州经济技术开发区-恒大绿洲-格林假日
        /
        76.00㎡
        /南        /
          2室1厅1卫        
          /
          中楼层                        （7层）
                  
      ",郑州经济技术开发区,恒大绿洲,格林假日,近地铁,精装,随时看房,7天前维护,1800 元/月,1800,,,,,,,,"
          /
          中楼层                        （7层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg74/#contentList
"
          整租·市场南街4号 3室1厅 南        ","
                二七区-老郑大-市场南街4号
        /
        70.00㎡
        /南        /
          3室1厅1卫        
          /
          中楼层                        （5层）
                  
      ",二七区,老郑大,市场南街4号,随时看房,,,3天前维护,1000 元/月,1000,,,,,,,,"
          /
          中楼层                        （5层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg74/#contentList
"
          合租·岗坡阳光新城 4居室 南卧        ","
                  精选          /
                中原区-汽车西站-岗坡阳光新城
        /
        30.00㎡
        /南        /
          4室0厅2卫        
          /
          中楼层                        （26层）
                  
      ",中原区,汽车西站,岗坡阳光新城,公寓,独立卫生间,月租,"
            吉嘉公寓          ",1050 元/月,1050,"
            广告          ",/,拎包入住,近地铁,精装,8天前维护,,"
          /
          中楼层                        （26层）
                  ",独立阳台,集中供暖,押一付一,随时看房,下一页,https://zz.zu.ke.com/zufang/pg75/#contentList
"
          整租·永丰心座 1室1厅 东        ","
                管城回族区-世纪欢乐园-永丰心座
        /
        45.00㎡
        /东        /
          1室1厅1卫        
          /
          中楼层                        （7层）
                  
      ",管城回族区,世纪欢乐园,永丰心座,近地铁,精装,随时看房,"
            链家          ",1000 元/月,1000,,,,,,1天前维护,,"
          /
          中楼层                        （7层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg75/#contentList
"
          整租·兴华南街60号 3室2厅 东/西/西北        ","
                二七区-市财政局-兴华南街60号
        /
        105.00㎡
        /东 西 西北        /
          3室2厅1卫        
          /
          中楼层                        （7层）
                  
      ",二七区,市财政局,兴华南街60号,精装,集中供暖,随时看房,8天前维护,2000 元/月,2000,,,,,,,,"
          /
          中楼层                        （7层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg75/#contentList
"
          合租·升龙城5号院 4居室 南卧        ","
                  精选          /
                二七区-市财政局-升龙城5号院
        /
        20.00㎡
        /南        /
          4室1厅2卫        
          /
          中楼层                        （34层）
                  
      ",二七区,市财政局,升龙城5号院,租住保障,公寓,近地铁,"
            郑州嘉禾公寓          ",700 元/月,700,"
            广告          ",/,精装,独立阳台,集中供暖,8天前维护,,"
          /
          中楼层                        （34层）
                  ",随时看房,,,,下一页,https://zz.zu.ke.com/zufang/pg75/#contentList
"
          整租·凤凰城公寓 2室1厅 东        ","
                金水区-东建材-凤凰城公寓
        /
        80.00㎡
        /东        /
          2室1厅1卫        
          /
          中楼层                        （12层）
                  
      ",金水区,东建材,凤凰城公寓,近地铁,精装,随时看房,1天前维护,1900 元/月,1900,,,,,,,,"
          /
          中楼层                        （12层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg75/#contentList
"
          整租·云帆都市嘉园 3室2厅 南        ","
                管城回族区-幸福港湾-云帆都市嘉园
        /
        132.00㎡
        /南        /
          3室2厅1卫        
          /
          中楼层                        （6层）
                  
      ",管城回族区,幸福港湾,云帆都市嘉园,近地铁,精装,随时看房,2天前维护,2200 元/月,2200,,,,,,,,"
          /
          中楼层                        （6层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg75/#contentList
"
          整租·普罗旺世青年城 2室1厅 南        ","
                金水区-普罗旺世-普罗旺世青年城
        /
        72.69㎡
        /南        /
          2室1厅1卫        
          /
          中楼层                        （34层）
                  
      ",金水区,普罗旺世,普罗旺世青年城,近地铁,精装,集中供暖,"
            链家          ",2200 元/月,2200,,,,,,3天前维护,,"
          /
          中楼层                        （34层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg75/#contentList
"
          合租·美景鸿城三期 5居室 北卧        ","
                  精选          /
                管城回族区-阳光城-美景鸿城三期
        /
        18.00㎡
        /北        /
          5室1厅1卫        
          /
          中楼层                        （33层）
                  
      ",管城回族区,阳光城,美景鸿城三期,公寓,拎包入住,近地铁,"
            菲客公寓          ",650 元/月,650,"
            广告          ",/,押一付一,随时看房,,8天前维护,,"
          /
          中楼层                        （33层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg75/#contentList
"
          合租·升龙凤凰城D区 4居室 南卧        ","
                  精选          /
                管城回族区-东建材-升龙凤凰城D区
        /
        18.00㎡
        /南        /
          4室1厅1卫        
          /
          中楼层                        （33层）
                  
      ",管城回族区,东建材,升龙凤凰城D区,租住保障,公寓,月租,"
            橘猫公寓          ",800 元/月,800,"
            广告          ",/,近地铁,精装,独立阳台,5天前维护,,"
          /
          中楼层                        （33层）
                  ",集中供暖,押一付一,随时看房,,下一页,https://zz.zu.ke.com/zufang/pg75/#contentList
"
          整租·万华城郁香苑 3室2厅 南        ","
                郑州高新技术产业开发区-高新石佛-万华城郁香苑
        /
        106.00㎡
        /南        /
          3室2厅1卫        
          /
          高楼层                        （34层）
                  
      ",郑州高新技术产业开发区,高新石佛,万华城郁香苑,精装,集中供暖,,"
            链家          ",2000 元/月,2000,,,,,,10天前维护,,"
          /
          高楼层                        （34层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg75/#contentList
"
          整租·恒大悦龙花园 4室2厅 南/北        ","
                郑东新区-北龙湖-恒大悦龙花园
        /
        160.00㎡
        /南 北        /
          4室2厅2卫        
          /
          低楼层                        （25层）
                  
      ",郑东新区,北龙湖,恒大悦龙花园,精装,集中供暖,双卫生间,1天前维护,8500 元/月,8500,,,随时看房,,,,,"
          /
          低楼层                        （25层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg75/#contentList
"
          合租·六合幸福门三期 4居室 南卧        ","
                  精选          /
                中原区-交警二大队-六合幸福门三期
        /
        25.00㎡
        /南        /
          4室0厅1卫        
          /
          中楼层                        （32层）
                  
      ",中原区,交警二大队,六合幸福门三期,公寓,月租,拎包入住,"
            吉嘉公寓          ",720 元/月,720,"
            广告          ",/,近地铁,精装,独立阳台,8天前维护,,"
          /
          中楼层                        （32层）
                  ",集中供暖,押一付一,随时看房,,下一页,https://zz.zu.ke.com/zufang/pg75/#contentList
"
          整租·亚新美好时光 2室1厅 南/北        ","
                金水区-南阳路-亚新美好时光
        /
        89.00㎡
        /南 北        /
          2室1厅1卫        
          /
          高楼层                        （6层）
                  
      ",金水区,南阳路,亚新美好时光,近地铁,集中供暖,随时看房,14天前维护,2200 元/月,2200,,,,,,,,"
          /
          高楼层                        （6层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg75/#contentList
"
          整租·花半里东区 1室0厅 东        ","
                金水区-新北站-花半里东区
        /
        42.00㎡
        /东        /
          1室0厅1卫        
          /
          低楼层                        （30层）
                  
      ",金水区,新北站,花半里东区,近地铁,随时看房,,4天前维护,1200 元/月,1200,,,,,,,,"
          /
          低楼层                        （30层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg75/#contentList
"
          合租·大学南郡 4居室 南卧        ","
                  精选          /
                二七区-二七万达-大学南郡
        /
        28.00㎡
        /南        /
          4室1厅2卫        
          /
          高楼层                        （26层）
                  
      ",二七区,二七万达,大学南郡,公寓,月租,拎包入住,"
            德鑫公寓          ",600 元/月,600,"
            广告          ",/,集中供暖,押一付一,随时看房,9天前维护,,"
          /
          高楼层                        （26层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg75/#contentList
"
          合租·六合幸福门三期 4居室 南卧        ","
                  精选          /
                中原区-交警二大队-六合幸福门三期
        /
        28.00㎡
        /南        /
          4室0厅1卫        
          /
          中楼层                        （32层）
                  
      ",中原区,交警二大队,六合幸福门三期,公寓,月租,拎包入住,"
            吉嘉公寓          ",720 元/月,720,"
            广告          ",/,近地铁,精装,集中供暖,8天前维护,,"
          /
          中楼层                        （32层）
                  ",押一付一,随时看房,,,下一页,https://zz.zu.ke.com/zufang/pg75/#contentList
